Product_Reference;Attribute__Name_Type_Position__;Value__Value_Position__;Supplier_reference;Reference;Default__0___No__1___Yes_;EAN13;UPC;Wholesale_price;Quantity
FDG0166;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;FDG0166BLKOS;FDG0166;;;876802202306;5.56;14
DG0092;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0092BLKOS;DG0092;;;876802128910;9.48;102
DG0092;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Rose;DG0092HPKOS;DG0092;;0;876802204188;9.48;8
DG1300;Taille:select:0,Color:color:1;Taille: L - 42/44, Couleur: Blanc;DG1300WHTL;DG1300;;0;;3.92;1
DG1300;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Rose Flashy;DG1300HPKM;DG1300;;0;;3.92;6
DG1300;Taille:select:0,Color:color:1;Taille: L - 42/44, Couleur: Rouge;DG1300REDL;DG1300;;;;3.92;6
DG1300;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Noir;DG1300BLKM;DG1300;;;;3.92;0
DG1300;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Rose Flashy;DG1300HPKS;DG1300;;;;3.92;0
DG1300;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Blanc ;DG1300WHTS;DG1300;;;;3.92;6
DG1300;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Blanc;DG1300WHTM;DG1300;;;;3.92;9
DG1300;Taille:select:0,Color:color:1;Taille:  L - 42/44, Couleur: Hot Pink;DG1300HPKL;DG1300;;;;3.92;0
DG1300;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Rouge;DG1300REDS;DG1300;;;;3.92;18
DG1300;Taille:select:0,Color:color:1;Taille: S - 34/36, Couleur: Noir;DG1300BLKS;DG1300;;;;3.92;0
DG1300;Taille:select:0,Color:color:1;Taille: M - 38/40, Couleur: Rouge;DG1300REDM;DG1300;;;;3.92;9
DG0001;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0001BLKOS;DG0001;;;876802036482;4.96;39
DG0001;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Blanc;DG0001WHTOS;DG0001;;;876802050709;4.96;15
DG0001;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Chair;DG0001NUDOS;DG0001;;0;;4.96;114
DG0005;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0005BLKOS;DG0005;;;876802036550;5.04;36
DG0005;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Chair;DG0005NUDOS;DG0005;;;876802112377;5.04;42
DG0005;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Rouge;DG0005REDOS;DG0005;;;876802171534;5.04;54
DG0005;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Blanc;DG0005WHTOS;DG0005;;;876802050730;5.04;12
DG0007;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Rouge;DG0007REDOS;DG0007;;;876802050754;2.08;15
DG0007;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Blanc;DG0007WHTOS;DG0007;;;876802050761;2.08;1
DG0007;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0007BLKOS;DG0007;;;876802036598;2.08;0
DG0007;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Chair;DG0007NUDOS;DG0007;;;876802171558;2.08;39
DG0013;Taille:select:0,Color:color:1;Taille: TU - 34/40, Couleur: Noir;DG0013BLKOS;DG0013;;;876802036697;4.76;1
